"report_month","channel","agency_size","total_leads","avg_lead_score","booked_calls","show_ups","closed_deals","setup_revenue","retainer_revenue","upsell_revenue","total_ltv","allocated_spend","allocated_impressions","allocated_clicks"
"2025-06","Cold Outreach","16+ agents","18","5.89","5","5","2","17000","27500","0","44500","0.00","0","0"
"2025-06","Cold Outreach","2-5 agents","21","5.14","3","2","0","0","0","0","0","0.00","0","0"
"2025-06","Cold Outreach","6-15 agents","20","5.45","5","3","2","17000","12500","0","29500","0.00","0","0"
"2025-06","Cold Outreach","Solo","35","5.20","6","4","0","0","0","0","0","0.00","0","0"
"2025-06","Google Search","16+ agents","59","5.20","28","25","8","79000","129500","0","208500","6094.00","316888","19837"
"2025-06","Google Search","2-5 agents","61","5.66","27","21","10","139000","312000","0","451000","6094.00","316888","19837"
"2025-06","Google Search","6-15 agents","52","5.35","24","15","6","105000","257500","15000","377500","6094.00","316888","19837"
"2025-06","Google Search","Solo","50","5.54","20","10","3","15000","24000","2500","41500","6094.00","316888","19837"
"2025-06","LinkedIn","16+ agents","29","8.48","25","17","6","58000","109500","12500","180000","4939.25","330929","15837"
"2025-06","LinkedIn","2-5 agents","25","8.24","19","13","7","56000","94500","10000","160500","4939.25","330929","15837"
"2025-06","LinkedIn","6-15 agents","32","8.44","19","14","6","101000","222000","5000","328000","4939.25","330929","15837"
"2025-06","LinkedIn","Solo","23","8.35","15","10","4","34000","56500","10000","100500","4939.25","330929","15837"
"2025-06","Meta","16+ agents","90","5.20","44","37","12","202000","403000","12500","617500","7874.50","322854","11870"
"2025-06","Meta","2-5 agents","80","5.43","40","28","9","116000","231500","10000","357500","7874.50","322854","11870"
"2025-06","Meta","6-15 agents","69","5.49","35","23","4","52000","80000","2500","134500","7874.50","322854","11870"
"2025-06","Meta","Solo","72","5.17","25","18","6","51000","96500","7500","155000","7874.50","322854","11870"
"2025-06","Referral","16+ agents","11","8.91","11","11","8","100000","174000","10000","284000","0.00","0","0"
"2025-06","Referral","2-5 agents","11","8.82","8","6","2","24000","28000","2500","54500","0.00","0","0"
"2025-06","Referral","6-15 agents","10","9.30","7","5","3","40000","97000","5000","142000","0.00","0","0"
