lead_id,created_at,channel,agency_size,lead_score,setter_id,closer_id
L-10000,2025-05-07 00:00:00,TikTok,Solo,3,Setter C,Closer B
L-10001,2025-06-24 00:00:00,Meta,2-5 agents,8,Setter B,Closer B
L-10002,2025-06-13 00:00:00,Cold Outreach,6-15 agents,6,Setter A,Closer A
L-10003,2025-05-08 00:00:00,LinkedIn,16+ agents,10,Setter C,Closer D
L-10004,2025-05-29 00:00:00,TikTok,6-15 agents,5,Setter A,Closer D
L-10005,2025-06-27 00:00:00,Cold Outreach,2-5 agents,7,Setter C,Closer B
L-10006,2025-02-04 00:00:00,Google Search,2-5 agents,4,Setter A,Closer C
L-10007,2025-03-14 00:00:00,Meta,6-15 agents,7,Setter B,Closer C
L-10008,2025-06-11 00:00:00,Meta,6-15 agents,3,Setter A,Closer B
L-10009,2025-06-14 00:00:00,Meta,6-15 agents,4,Setter B,Closer A
L-10010,2025-06-21 00:00:00,Cold Outreach,Solo,3,Setter A,Closer A
L-10011,2025-04-30 00:00:00,LinkedIn,16+ agents,8,Setter B,Closer A
L-10012,2025-04-24 00:00:00,Referral,Solo,10,Setter B,Closer D
L-10013,2025-01-15 00:00:00,Google Search,Solo,5,Setter B,Closer D
L-10014,2025-04-17 00:00:00,Meta,16+ agents,4,Setter A,Closer D
L-10015,2025-04-12 00:00:00,Meta,2-5 agents,5,Setter A,Closer C
L-10016,2025-03-22 00:00:00,Cold Outreach,Solo,3,Setter A,Closer D
L-10017,2025-05-11 00:00:00,Meta,16+ agents,5,Setter B,Closer C
L-10018,2025-06-23 00:00:00,Google Search,2-5 agents,6,Setter C,Closer B
L-10019,2025-02-21 00:00:00,Google Search,Solo,5,Setter C,Closer A
L-10020,2025-05-25 00:00:00,Cold Outreach,Solo,7,Setter A,Closer D
L-10021,2025-04-06 00:00:00,Cold Outreach,16+ agents,8,Setter B,Closer A
L-10022,2025-02-02 00:00:00,Cold Outreach,16+ agents,6,Setter A,Closer A
L-10023,2025-03-23 00:00:00,TikTok,2-5 agents,3,Setter A,Closer B
L-10024,2025-06-06 00:00:00,TikTok,16+ agents,5,Setter A,Closer B
L-10025,2025-05-29 00:00:00,Meta,6-15 agents,3,Setter C,Closer B
L-10026,2025-04-28 00:00:00,Meta,16+ agents,7,Setter B,Closer B
L-10027,2025-03-31 00:00:00,Cold Outreach,16+ agents,3,Setter C,Closer B
L-10028,2025-05-15 00:00:00,Meta,16+ agents,4,Setter B,Closer B
L-10029,2025-06-01 00:00:00,Meta,16+ agents,4,Setter A,Closer A
