month_start,channel,ad_spend,impressions,clicks
2025-01-01,Meta,20436.0,919620,50644
2025-01-01,Google Search,17041.0,681640,57982
2025-01-01,TikTok,11477.0,573850,38795
2025-01-01,LinkedIn,15558.0,886806,31933
2025-02-01,Meta,21426.0,1221282,60385
2025-02-01,Google Search,19776.0,1542528,50633
2025-02-01,TikTok,12522.0,613578,18899
2025-02-01,LinkedIn,17145.0,685800,45950
2025-03-01,Meta,23761.0,1829597,50527
2025-03-01,Google Search,17989.0,1223252,34397
2025-03-01,TikTok,15704.0,753792,35762
2025-03-01,LinkedIn,18095.0,904750,58699
2025-04-01,Meta,24831.0,1936818,49491
2025-04-01,Google Search,19492.0,1539868,58391
2025-04-01,TikTok,16232.0,1217400,45737
2025-04-01,LinkedIn,15906.0,715770,50634
2025-05-01,Meta,26586.0,1914192,55839
2025-05-01,Google Search,20280.0,1135680,31876
2025-05-01,TikTok,14402.0,720100,33331
2025-05-01,LinkedIn,20777.0,914188,32973
2025-06-01,Meta,31498.0,1291418,47482
2025-06-01,Google Search,24376.0,1267552,79348
2025-06-01,TikTok,17432.0,1045920,59570
2025-06-01,LinkedIn,19757.0,1323719,63349
