lead_id,booked_call,showed_up,time_to_first_contact_mins,follow_up_attempts
L-10000,True,True,88,8
L-10001,True,True,31,5
L-10002,False,False,19,6
L-10003,True,True,86,11
L-10004,False,False,74,11
L-10005,False,False,57,4
L-10006,False,False,24,3
L-10007,True,True,66,8
L-10008,True,True,4,9
L-10009,True,True,47,1
L-10010,False,False,43,1
L-10011,True,False,31,2
L-10012,True,False,28,10
L-10013,True,False,1,2
L-10014,False,False,19,5
L-10015,True,False,4,1
L-10016,False,False,45,5
L-10017,False,False,44,10
L-10018,False,False,9,5
L-10019,True,False,68,6
L-10020,False,False,30,3
L-10021,False,False,73,11
L-10022,False,False,17,1
L-10023,True,True,12,1
L-10024,True,True,62,5
L-10025,False,False,62,8
L-10026,False,False,1,4
L-10027,False,False,24,6
L-10028,True,True,96,2
L-10029,True,False,0,11
L-10030,False,False,6,3
L-10031,False,False,78,1
L-10032,False,False,22,3
L-10033,True,True,87,6
L-10034,False,False,54,9
L-10035,False,False,16,11
L-10036,True,False,92,11
L-10037,True,True,34,6
L-10038,False,False,11,10
L-10039,False,False,35,8
L-10040,True,True,24,1
L-10041,False,False,163,6
L-10042,True,True,1,4
L-10043,False,False,69,6
L-10044,True,False,102,6
L-10045,False,False,4,3
L-10046,True,False,10,1
L-10047,False,False,14,5
L-10048,False,False,23,6
L-10049,True,True,251,9
L-10050,True,False,27,11
L-10051,True,True,64,6
L-10052,False,False,43,4
L-10053,False,False,2,2
L-10054,True,True,9,9
L-10055,False,False,121,2
L-10056,False,False,58,7
L-10057,False,False,6,11
L-10058,True,True,113,4
L-10059,True,True,8,11
L-10060,True,True,14,6
L-10061,True,True,74,5
L-10062,True,False,8,2
L-10063,False,False,18,3
L-10064,True,True,44,11
L-10065,False,False,65,6
L-10066,False,False,27,11
L-10067,True,True,48,3
L-10068,False,False,14,6
L-10069,False,False,32,8
L-10070,True,True,72,5
L-10071,False,False,138,9
L-10072,False,False,96,9
L-10073,True,True,20,7
L-10074,False,False,30,6
L-10075,False,False,53,8
L-10076,True,True,85,3
L-10077,True,False,2,2
L-10078,True,True,42,1
L-10079,True,True,1,9
L-10080,False,False,0,10
L-10081,True,False,120,4
L-10082,True,True,31,5
L-10083,False,False,20,6
L-10084,True,True,9,6
L-10085,True,True,153,6
L-10086,False,False,26,5
L-10087,False,False,31,11
L-10088,False,False,12,8
L-10089,True,True,103,11
L-10090,False,False,120,10
L-10091,False,False,40,5
L-10092,True,True,7,3
L-10093,True,False,9,2
L-10094,False,False,10,10
L-10095,False,False,44,4
L-10096,True,True,23,7
L-10097,False,False,46,7
L-10098,True,True,31,1
L-10099,True,False,21,6
L-10100,True,True,24,7
L-10101,True,True,26,7
L-10102,False,False,15,7
L-10103,False,False,32,6
L-10104,False,False,12,6
L-10105,False,False,9,4
L-10106,False,False,20,6
L-10107,False,False,51,1
L-10108,True,False,61,11
L-10109,True,True,19,8
L-10110,False,False,145,6
L-10111,False,False,14,8
L-10112,False,False,52,11
L-10113,True,True,43,1
L-10114,True,False,19,9
L-10115,False,False,55,3
L-10116,True,False,6,11
L-10117,False,False,9,10
L-10118,True,True,51,10
L-10119,False,False,6,1
L-10120,False,False,19,10
L-10121,False,False,52,4
L-10122,True,True,96,4
L-10123,False,False,6,3
L-10124,False,False,25,5
L-10125,False,False,86,8
L-10126,True,True,9,3
L-10127,False,False,3,10
L-10128,False,False,45,1
L-10129,True,True,25,4
L-10130,True,True,17,3
L-10131,True,True,159,4
L-10132,True,False,108,11
L-10133,False,False,11,2
L-10134,False,False,8,11
L-10135,False,False,6,2
L-10136,True,True,79,1
L-10137,False,False,81,2
L-10138,True,True,82,9
L-10139,False,False,128,10
L-10140,False,False,31,11
L-10141,True,True,7,11
L-10142,True,True,36,5
L-10143,False,False,2,11
L-10144,False,False,4,4
L-10145,True,True,12,5
L-10146,False,False,53,2
L-10147,False,False,5,9
L-10148,True,True,73,10
L-10149,True,False,78,9
L-10150,True,False,32,4
L-10151,False,False,125,9
L-10152,False,False,36,8
L-10153,False,False,5,10
L-10154,True,True,26,4
L-10155,False,False,88,6
L-10156,False,False,11,10
L-10157,True,True,15,8
L-10158,True,False,9,5
L-10159,True,True,82,1
L-10160,False,False,27,3
L-10161,False,False,100,7
L-10162,True,True,164,7
L-10163,False,False,19,8
L-10164,False,False,91,5
L-10165,True,True,2,3
L-10166,False,False,59,2
L-10167,False,False,50,8
L-10168,False,False,71,8
L-10169,True,True,12,4
L-10170,False,False,48,9
L-10171,False,False,39,1
L-10172,False,False,104,8
L-10173,False,False,20,2
L-10174,True,True,28,5
L-10175,True,True,92,5
L-10176,False,False,17,6
L-10177,False,False,80,10
L-10178,True,False,23,11
L-10179,True,False,24,10
L-10180,True,False,48,1
L-10181,True,True,19,4
L-10182,False,False,105,2
L-10183,False,False,11,2
L-10184,True,True,29,1
L-10185,False,False,23,8
L-10186,True,True,10,5
L-10187,True,True,8,5
L-10188,False,False,45,1
L-10189,True,True,5,3
L-10190,False,False,24,1
L-10191,True,False,63,6
L-10192,True,False,49,7
L-10193,False,False,54,6
L-10194,True,True,13,1
L-10195,True,False,96,4
L-10196,False,False,83,8
L-10197,False,False,175,11
L-10198,False,False,23,6
L-10199,True,True,56,7
L-10200,True,True,76,7
L-10201,False,False,1,10
L-10202,True,True,12,5
L-10203,False,False,42,9
L-10204,False,False,15,6
L-10205,False,False,14,6
L-10206,True,True,145,9
L-10207,True,True,48,9
L-10208,False,False,2,3
L-10209,True,True,118,3
L-10210,True,True,37,4
L-10211,True,True,17,2
L-10212,True,False,56,8
L-10213,False,False,24,4
L-10214,False,False,7,3
L-10215,False,False,141,5
L-10216,False,False,56,7
L-10217,True,True,98,7
L-10218,False,False,11,11
L-10219,True,True,52,3
L-10220,True,True,28,1
L-10221,True,False,61,7
L-10222,False,False,5,7
L-10223,False,False,12,9
L-10224,True,True,124,7
L-10225,False,False,68,9
L-10226,False,False,1,8
L-10227,False,False,1,8
L-10228,False,False,68,10
L-10229,True,True,10,10
