sale_id,lead_id,sale_date,product_type,setup_fee,monthly_retainer,months_retained,upsell_revenue,csm_id
S-20000,L-10009,2025-06-18,Premium Growth,12000,3500,5,0,CSM B
S-20001,L-10033,2025-03-27,Standard Package,5000,1500,7,0,CSM B
S-20002,L-10037,2025-06-19,Standard Package,5000,1500,7,2500,CSM B
S-20003,L-10040,2025-06-20,Standard Package,5000,1500,3,0,CSM B
S-20004,L-10061,2025-01-10,Standard Package,5000,1500,3,0,CSM A
S-20005,L-10070,2025-05-11,Standard Package,5000,1500,6,7500,CSM A
S-20006,L-10073,2025-06-07,Standard Package,5000,1500,8,0,CSM B
S-20007,L-10076,2025-05-04,Premium Growth,12000,3500,3,0,CSM B
S-20008,L-10079,2025-06-18,Premium Growth,12000,3500,4,0,CSM A
S-20009,L-10084,2025-05-08,Enterprise Suite,30000,8000,12,2500,CSM B
S-20010,L-10085,2025-05-19,Standard Package,5000,1500,2,0,CSM A
S-20011,L-10089,2025-04-26,Standard Package,5000,1500,3,0,CSM A
S-20012,L-10096,2025-03-30,Standard Package,5000,1500,7,0,CSM A
S-20013,L-10100,2025-06-08,Premium Growth,12000,3500,8,0,CSM B
S-20014,L-10101,2025-03-14,Standard Package,5000,1500,9,0,CSM A
S-20015,L-10118,2025-05-28,Premium Growth,12000,3500,4,2500,CSM B
S-20016,L-10126,2025-04-26,Standard Package,5000,1500,5,0,CSM B
S-20017,L-10130,2025-06-06,Standard Package,5000,1500,5,0,CSM B
S-20018,L-10131,2025-04-16,Standard Package,5000,1500,7,0,CSM A
S-20019,L-10138,2025-06-18,Premium Growth,12000,3500,4,2500,CSM A
S-20020,L-10142,2025-07-03,Standard Package,5000,1500,4,0,CSM B
S-20021,L-10154,2025-05-28,Standard Package,5000,1500,5,0,CSM A
S-20022,L-10159,2025-06-11,Premium Growth,12000,3500,7,0,CSM B
S-20023,L-10181,2025-04-26,Enterprise Suite,30000,8000,12,0,CSM B
S-20024,L-10184,2025-02-03,Standard Package,5000,1500,4,2500,CSM A
S-20025,L-10199,2025-05-28,Standard Package,5000,1500,8,0,CSM A
S-20026,L-10200,2025-05-04,Standard Package,5000,1500,8,0,CSM B
S-20027,L-10206,2025-04-22,Standard Package,5000,1500,8,0,CSM A
S-20028,L-10209,2025-05-16,Enterprise Suite,30000,8000,9,7500,CSM A
S-20029,L-10217,2025-06-03,Premium Growth,12000,3500,3,7500,CSM A
S-20030,L-10219,2025-05-31,Standard Package,5000,1500,6,0,CSM B
S-20031,L-10220,2025-05-31,Standard Package,5000,1500,6,0,CSM A
S-20032,L-10224,2025-07-03,Enterprise Suite,30000,8000,11,0,CSM A
S-20033,L-10239,2025-06-13,Enterprise Suite,30000,8000,9,0,CSM B
S-20034,L-10242,2025-05-29,Standard Package,5000,1500,6,0,CSM B
S-20035,L-10246,2025-06-26,Standard Package,5000,1500,9,0,CSM A
S-20036,L-10261,2025-05-09,Premium Growth,12000,3500,3,0,CSM B
S-20037,L-10264,2025-02-12,Standard Package,5000,1500,5,0,CSM B
S-20038,L-10278,2025-06-23,Premium Growth,12000,3500,7,7500,CSM A
S-20039,L-10281,2025-05-25,Standard Package,5000,1500,4,0,CSM A
S-20040,L-10292,2025-04-04,Standard Package,5000,1500,4,0,CSM B
S-20041,L-10304,2025-04-08,Standard Package,5000,1500,4,7500,CSM A
S-20042,L-10309,2025-05-30,Standard Package,5000,1500,4,0,CSM A
S-20043,L-10314,2025-06-23,Standard Package,5000,1500,6,0,CSM A
S-20044,L-10316,2025-02-03,Standard Package,5000,1500,9,0,CSM A
S-20045,L-10332,2025-07-01,Enterprise Suite,30000,8000,11,0,CSM A
S-20046,L-10344,2025-05-31,Standard Package,5000,1500,6,2500,CSM B
S-20047,L-10346,2025-04-22,Premium Growth,12000,3500,5,0,CSM B
S-20048,L-10359,2025-03-02,Premium Growth,12000,3500,5,0,CSM B
S-20049,L-10368,2025-04-15,Premium Growth,12000,3500,4,0,CSM A
